"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-05-23","Wtorek","

","Dz 20,17-27, Ps 68,10-11.20-21, J 17,1-11a"
"2023-05-24","Środa","
Najśw. Maryi Panny, Wspomożycielki Wiernych
","Dz 20,28-38, Ps 68,29-30.33-36, J 17,11b-19"
"2023-05-25","Czwartek","
Św. Bedy Czcigodnego, Prezbitera I Doktora Kościoła
","Dz 22,30;23,6-11, Ps 16,1-2.5.7-11, J 17,20-26"
"2023-05-26","Piątek","
Św. Filipa Nereusza, Prezbitera
","Dz 25,13-21, Ps 103,1-2.11-12.19-20, J 21,15-19"
"2023-05-27","Sobota","
Św. Augustyna Z Canterbury, Biskupa
","Dz 28,16-20.30-31, Ps 11,4-5.7, J 21,20-25"
"2023-05-28","Niedziela","ZESŁANIE DUCHA ŚWIĘTEGO

","Dz 2,1-11, Ps 104,1.24.29-31.34, 1 Kor 12,3b-7.12-13, J 20,19-23"
"2023-05-29","Poniedziałek","ŚWIĘTO NAJŚWIĘTSZEJ MARYI PANNY, MATKI KOŚCIOŁA
Św. Urszuli Ledóchowskiej, Dziewicy
","Rdz 3,9-15.20, Ps 87, Dz 1,12-14, J 2,1-11 lub J 19,25-27, Syr 17,24-29, Ps 32,1-2.5-7, Mk 10,17-27"
"2023-05-30","Wtorek","
Św. Jana Sarkandra, Prezbitera I Męczennika, Św. Zdzisławy
","Syr 35,1-12, Ps 50,5-8.14.23, Mk 10,28-31"
"2023-05-31","Środa","Święto Nawiedzenia Najświętszej Maryi Panny
Nawiedzenie Najśw. Maryi Panny
","So 3,14-18 lub Rz 12,9-16b, Ps: Iz 12,2-6, Łk 1,39-56"
"2023-06-01","Czwartek","
Św. Justyna, Męczennika
","Syr 42,15-25, Ps 33, Mk 10,46-52"
"2023-06-02","Piątek","
Świętych Męczenników Marcelina I Piotra
","Syr 44,1.9-13, Ps 149,1-6.9, Mk 11,11-25"
"2023-06-03","Sobota","
Świętych Męczenników Karola Lwangi I Towarzyszy
","Syr 51,12-20, Ps 19,8-11, Mk 11,27-33"
"2023-06-04","Niedziela","UROCZYSTOŚĆ NAJŚWIĘTSZEJ TRÓJCY

","Wj 34,4b6.8-9, Dn 3,52.53a.54a.55ab.56a, 2 Kor 13,11-13, J 3,16-18"
"2023-06-05","Poniedziałek","
Św. Bonifacego, Biskupa I Męczennika
","Tb 1,1a.2;2,1-9, Ps 112,1-6, Mk 12,1-12"
"2023-06-06","Wtorek","
Św. Norberta, Biskupa
","Tb Wlg 2,10-23, Ps 112,1-2.7-9, Mk 12,13-17"
"2023-06-07","Środa","

","Tb 3,1-11.16-17 - Wlg, Ps 25,2-7bc.8-9, Mk 12,18-27"
"2023-06-08","Czwartek","UROCZCYSTOŚĆ NAJŚWIĘTSZEGO CIAŁA I KRWI CHRYSTUSA
Św. Jadwigi Królowej
","Pwt 8,2-3.14b-16a, Ps 147,12-15.19-20, 1 Kor 10,16-17, J 6,51-58, Tb 6,10-11;7,1.9-17;8,4-10 - Wlg, Ps 128,1-5, Mk 12,28b-34"
"2023-06-09","Piątek","
Św. Efrema, Diakona I Doktora Kościoła
","Tb Wlg 11,5-17, Ps 146,1-2.6c.7-10, Mk 12,35-37"
"2023-06-10","Sobota","
Bł. Bogumiła, Biskupa
","Tb Wlg 12,1.5-15.20, Ps: Tb 13.2.6.7, Mk 12,38-44"
"2023-06-11","Niedziela","X NIEDZIELA ZWYKŁA
Św. Barnaby, Apostoła
","Oz 6,3-6, Ps 50,1.8.12-15, Rz 4,18-25, Mt 9,9-13"
"2023-06-12","Poniedziałek","
Bł. Antoniego Nowowiejskiego, Biskupa I Towarzyszy, Męczenników
","2 Kor 1,1-7, Ps 34, Mt 5,1-12"
"2023-06-13","Wtorek","
Św. Antoniego Z Padwy, Prezbitera I Doktora Kościoła
","2 Kor 1,18-22, Ps 119,129-133.135, Mt 5,13-16"
"2023-06-14","Środa","
Bł. Michała Kozala, Biskupa I Męczennika
","2 Kor 3,4-11, Ps 99,5-8, Mt 5,17-19"
"2023-06-15","Czwartek","
Bł. Jolanty, Zakonnicy
","2 Kor 3,15-4,1.3-6, Ps 85,9-14, Mt 5,20-26"
"2023-06-16","Piątek","UROCZYSTOŚĆ NAJŚWIĘTSZEGO SERCA PANA JEZUSA

","Pwt 7,6-11, Ps 103,1-4,6-8,10, 1 J 4,7-16, Mt 11,25-30, 2 Kor 4,7-15, Ps 116,10-11.15-18, Mt 5,27-32"
"2023-06-17","Sobota","
Św. Alberta Chmielowskiego, Zakonnika
","2 Kor 5,14-21, Ps 103, Mt 5,33-37"
"2023-06-18","Niedziela","XI NIEDZIELA ZWYKŁA

","Wj 19,1-6a, Ps 100,1-5, Rz 5,6-11, Mt 9,36-10,8"
"2023-06-19","Poniedziałek","
Św. Romualda, Opata
","2 Kor 6,1-10, Ps 98,1-4, Mt 5,38-42"
"2023-06-20","Wtorek","
W Diecezji Opolskiej: Św. Alojzego Gonzagi, Zakonnika
","2 Kor 8,1-9, Ps 146,1-2.5-9, Mt 5,43-48"
"2023-06-21","Środa","
Św. Alojzego Gonzagi, Zakonnika
","2 Kor 9,6-11, Ps 112,1-4.9, Mt 6,1-6.16-18"
"2023-06-22","Czwartek","
Św. Paulina Z Noli, Biskupa
","2 Kor 11,1-11, Ps 111,1-4.7-8, Mt 6,7-15"
"2023-06-23","Piątek","

","2 Kor 11,18.21b-30, Ps 34,2-7, Mt 6,19-23"
